model,n,em_rag,f1_rag,p50_rag_ms,p95_rag_ms,em_norag,f1_norag,p50_norag_ms,p95_norag_ms,em_rag_only,em_norag_only,em_both_true,em_both_false,f1_gain_avg,f1_gain_median,f1_gain_pos,f1_gain_neg,f1_gain_zero
qwen3:8b,74,0.432,0.526,1276,1755,0.149,0.269,828,1161,23,2,9,40,0.257,0.0,31,12,31
qwen3:4b,74,0.324,0.416,821,1061,0.162,0.242,318,507,19,7,5,43,0.174,0.0,27,11,36
gemma3:1b,74,0.122,0.157,706,969,0.095,0.159,453,682,5,3,4,62,-0.002,0.0,8,9,57
gemma3:4b,74,0.405,0.492,1026,1286,0.135,0.239,645,885,24,4,6,40,0.253,0.0,31,11,32
deepseek-r1:8b,74,0.284,0.336,1898,2404,0.122,0.235,1173,1839,18,6,3,47,0.101,0.0,23,15,36
